Bar0, -16.022746170476175
Bar5, -53.185295367615815
Bar7, -47.88142796430089
Bar8, -71.13684657883553
Bar9, -82.96855078623035
Bar6, -36.87845303867403
Bar4, -45.58011049723757
Bar3, -27.76243093922652
Bar2, -34.80662983425414
Bar1, -23.204419889502763
,,

Bar0, 15.179604205547045
Bar1, 43.50828729281768
Bar2, 67.57968550786231
Bar3, 83.49128771780705
Bar4, 70.43561410964726
Bar6, 43.50828729281768
Bar8, 37.388440288992776
Bar9, 67.57968550786231
Bar5, 43.92265193370165
Bar7, 43.92265193370165
,,

Bar0, 16.53755314123761
Bar2, 52.03589985829002
Bar3, 81.1147850732168
Bar5, 67.17052432687764
Bar6, 52.03589985829002
Bar8, 45.174303259329236
Bar4, 67.80821917808218
Bar7, 43.15068493150683
Bar9, 47.26027397260275
Bar1, 19.006849315068493
,,

Bar0, -42.34293811998109
Bar1, -110.70382616910722
Bar2, -119.37647614548888
Bar3, -97.43977326405287
Bar4, -67.34057628719884
Bar5, -51.5257439773264
Bar7, -27.548417572035895
Bar6, -51.88356164383559
Bar8, -18.493150684931507
Bar9, -16.43835616438356
