coal,v1,oil,v2
1831.111419068736, 99.93902439024389,1908.989283074649, 99.75609756097559
1831.6749815225426, 91.52439024390243,1917.7651515151515, 97.37804878048779
1831.60014781966, 76.70731707317071,1923.5088691796009, 94.6341463414634
1831.8782335550627, 71.76829268292681,1926.8181818181818, 89.87804878048779
1835.4647080561715, 61.89024390243902,1930.7529563932003, 88.96341463414633
1838.1624168514413, 56.036585365853654,1935.872135994087, 82.56097560975608
1840.880450849963, 54.20731707317072,1939.790280857354, 78.35365853658536
1840.8361049519585, 45.42682926829268,1941.581670362158, 73.04878048780486
1842.9277531411676, 39.57317073170731,1945.5145971914264, 71.76829268292681
1843.810051736881, 34.26829268292683,1949.458610495196, 72.68292682926828
1845.900776053215, 28.231707317073173,1950.6393200295638, 66.46341463414633
1849.8170731707316, 23.65853658536585,1951.5142276422764, 59.695121951219505
1855.559866962306, 20.731707317073173,1952.7115668883962, 56.76829268292682
1867.662601626016, 17.07317073170732,1953.9061345158905, 53.292682926829265
1875.2171101256467, 12.86585365853658,1956.9077974870656, 47.62195121951219
1883.3786031042127, 8.841463414634148,1958.4063192904655, 44.329268292682926
1893.3628972653362, 5.731707317073173,1960.1958610495196, 38.65853658536585
1911.2250554323725, 2.4390243902439153,1962.6071692535106, 36.09756097560975
1925.7631189948263, 0.975609756097569,1963.4940872135994, 31.707317073170728
1935.7584996304508, 0.06097560975611316,1964.6720251293423, 24.9390243902439
1972.4242424242425, -0.1219512195121979,1965.54970436068, 18.71951219512195
,,1966.729490022173, 12.317073170731703
,,1968.219696969697, 7.378048780487802
,,1969.7052845528456, 1.5243902439024453
,,1973.031226903178, 0.06097560975611316
