oil,v1
1862.4896966749643, 0.01027026325709346
1863.7327359626254, 0.010568197448862282
1864.97591081185, 0.011454468826197717
1866.21869403878, 0.010641099445230395
1867.4616730768573, 0.010677550443414452
1868.7046521149348, 0.010714001441598509
1869.9478721513472, 0.01179638521412274
1871.1906101910895, 0.010786903437966622
1872.4335892291667, 0.0108233544361509
1873.676568267244, 0.010859805434334957
1874.9197431164687, 0.011746076811670392
1876.1628426537136, 0.012305494197024647
1877.40614876096, 0.01376142538895575
1878.7549719770745, 0.01340371921688277
1879.892635814115, 0.016130087567097107
1881.0358734087647, 0.01600198218493598
1881.8212361082467, 0.011588570495931538
1883.0563355766517, 0.015151413411444992
1884.3000158768486, 0.018231342009248808
1885.6150996839697, 0.02147085959885575
1886.6263903783777, 0.03903286226359337
1887.8109850593773, 0.053176703094788946
1889.051989058718, 0.044641485975643214
1890.2930304988713, 0.03626876198393969
1891.5345368649796, 0.029913816636067292
1892.7769003531428, 0.027278781006457864
1894.0198703537824, 0.027276009525604383
1895.2628493918598, 0.02731246052378844
1896.505828429937, 0.027348911521972497
1897.74878638066, 0.027293843402401707
1898.9923116816303, 0.0297010753557565
1900.2355186639663, 0.03072680443633713
1901.4801696279933, 0.03801941405650555
1902.7237992898497, 0.04087957225589167
1903.968633369576, 0.04896690401084869
1905.2119957097673, 0.05066688618345916
1906.4556450244643, 0.0536123377102764
1907.7001659498064, 0.0603405794376235
1908.9435587016922, 0.06217254836509145
1910.1876423154722, 0.06700285791233385
1911.4309959051286, 0.06866486276397188
1912.6744227984452, 0.07064500550113784
1913.9103488696219, 0.08093894813707503
1914.4002388449678, 0.09138923689804801
1915.3973929824776, 0.08788309801348015
1916.1096460787317, 0.0833584107559362
1917.3487365500962, 0.08695216621377133
1918.674383802986, 0.11882972560384175
1919.9200219157988, 0.1304065609535081
1920.6019917362648, 0.14770508672717608
1921.1803825045324, 0.16501157381390041
1922.4152642137276, 0.17077298544960584
1923.6789223554247, 0.17882201018447863
1924.7547485823775, 0.1890278846649317
1926.0360528230028, 0.1919262427740308
1926.8862856607632, 0.2038736398415083
1927.736248379556, 0.21464872059107964
1928.9553275553608, 0.2241309422128669
1929.4234201099364, 0.2421488447983523
1930.1187790794484, 0.25625522545083557
1931.3645747138416, 0.2685157044596027
1932.609325089682, 0.27623976134918615
1933.948200721034, 0.2721173564382826
1935.049253954209, 0.28088272481567933
1936.4185404045445, 0.28524298642107093
1937.3026600533306, 0.29336424615852197
1937.8165997139713, 0.31702450205263555
1939.0594457008847, 0.3164835109983194
1940.3024583783128, 0.3166659567795883
1941.1493541422517, 0.314130453462376
1941.4834855308331, 0.29303543238146856
1942.1021209768805, 0.2806669810977771
1943.3014843514482, 0.2875748188010807
1944.539267781014, 0.314103170442523
1945.4075931301516, 0.32912461829744843
1946.5611081971567, 0.343273827327937
1947.6119018326037, 0.3592668850361955
1947.2013796452977, 0.34307088915698625
1949.0090913682989, 0.3746990079063889
1950.2632921113131, 0.39074376394152555
1951.055741330554, 0.3971144645555551
1951.850644214094, 0.41413406822833454
1953.0952575784872, 0.4212634954371318
1953.889606037775, 0.4358768978547932
1955.1323968676286, 0.4350965251625404
1956.3754206625397, 0.43532722081881614
1957.548064346764, 0.44537078913680517
1958.865217067535, 0.4520584699836465
1960.1076327720039, 0.4496500531218107
1961.3500354223966, 0.44718498156803166
1962.5919595906778, 0.4426432976518646
1963.8335895401585, 0.4368247041403579
1965.0760544484542, 0.4346298318866164
1966.319054573886, 0.4347578020025554
1967.5627817109619, 0.4380410026544199
1968.8060218305689, 0.43921054749147226
1970.050156656495, 0.4442631177532622
1971.295420157957, 0.4542141398415447
1972.540242833298, 0.4622519765634302
1973.782862382192, 0.460728244506557
1975.0265855026291, 0.463994012945516
1976.2719966155714, 0.47458566885808173
1977.516174620366, 0.4798256354086078
1978.6996596761742, 0.466862411279643
1979.5279934614407, 0.44915570930357296
1980.3304221963144, 0.43344971898566675
1981.152713073336, 0.4222106896156157
1982.3609641509092, 0.4186503167785509
1983.6033196057945, 0.41598041672313013
1984.8464085993621, 0.41649407454960674
1986.0911680843658, 0.424257665207744
1987.333353262451, 0.42084876384092973
1988.575094171582, 0.41551173521094154
1989.252079582236, 0.41117792240039697
1990.4910218982004, 0.3936949994283854
1991.7336258826188, 0.39210371754650253
1992.9764934589662, 0.3916564246365545
1994.218995019092, 0.3896206213255772
1995.4611275505174, 0.38598323345389196
1996.704736196745, 0.3887521838250394
1997.9484065987963, 0.3917891544696115
1999.191506136041, 0.39234857185496563
2000.3216862380941, 0.39324605634928134
2001.9609354913796, 0.3966657859051801
2003.8290295671993, 0.41245521357643444
2005.0719332932968, 0.4121648105826373
2006.5939733410257, 0.3973050038642447
