og,v1
1872.6043497792882, 0.005588135305116482
1874.3233134106802, 0.00582115134001937
1876.058342122739, 0.006753215479630592
1877.857631157467, 0.008151311689047702
1879.6247900308606, 0.009316391863561813
1881.5525997109262, 0.011646552212590033
1882.9984569709754, 0.010772742081704423
1884.903316535802, 0.015141792736132476
1886.8540763311066, 0.02096719360870314
1888.6390852941304, 0.02562751430675969
1890.4084754287276, 0.02985092993937344
1892.3804640806281, 0.0301713269873648
1893.6014102113363, 0.029821802935010577
1895.7434209669648, 0.030287835004816244
1897.2963787647955, 0.033200535441101575
1899.898921832884, 0.03669577596464402
1901.8267315129497, 0.04158911269760346
1902.9994824016562, 0.04252117683721468
1906.7747763584514, 0.04734037210452313
1908.399134514803, 0.051388731498794415
1910.3894195085745, 0.05591959884412723
1912.0584028890016, 0.05656686560774615
1913.7630864486894, 0.06349261997846911
1915.8917096370951, 0.071065641112811
1917.3777295988125, 0.07307805232333542
1918.8235868588615, 0.08388152303246654
1919.8678171022304, 0.09378470451583665
1921.2735116606118, 0.11169781219899155
1922.7327564878835, 0.12440042243501381
1924.6962663472098, 0.1351450507110885
1926.4098749517125, 0.1472489391907632
1927.868227274503, 0.15489315966910322
1929.4800903681132, 0.17313960973552167
1931.133454920114, 0.18466095812793937
1932.9608578460095, 0.1940981075415038
1934.6316262353998, 0.19750596705195766
1936.2140366811202, 0.21429768506714264
1936.6558263994687, 0.22291442385782023
1937.8607074495096, 0.19354469445860967
1939.6367913677184, 0.2251151308541246
1941.4753505996327, 0.22008998707111915
1942.7605570530097, 0.225671780270837
1943.4031602796983, 0.23903136627193233
1943.8851126997147, 0.25398322851153043
1944.286739716395, 0.2705856209983569
1944.6080413297393, 0.2848578531361551
1944.9293429430836, 0.2956348447504108
1947.0981288331575, 0.3066448523995695
1947.9013828665181, 0.3257521672616013
1949.1865893198953, 0.33829266659455337
1950.4717957732723, 0.3489372627344326
1951.355375209969, 0.3628211348140594
1952.319280050002, 0.37476320660282925
1953.1225340833626, 0.3865110983625134
1954.0864389233955, 0.40049206045668306
1955.6126215867807, 0.4111631356914376
1957.379780460174, 0.4217547736415661
1958.7453123168873, 0.43427938551759304
1959.7092171569202, 0.44690108740816287
1960.5927965936169, 0.46055194345288686
1961.2353998203055, 0.4691347007384743
1963.9664635337317, 0.49317418833928267
1964.6090667604203, 0.5172913479517253
1965.3801906324466, 0.5303402459062836
1966.2155748271416, 0.5431172918201219
1966.7778526504942, 0.5567584388633917
1967.7417574905269, 0.568409240608533
1968.8663131372318, 0.5825358377245169
1969.6695671705925, 0.5941866394696582
1970.5531466072894, 0.6080510935463765
1971.517051447322, 0.6206506034336222
1972.930778546037, 0.6310031729843051
1974.6408171326136, 0.622472197039807
1976.4972264541584, 0.6228899783145065
1978.2161900855501, 0.6241291999546716
1979.9512187976093, 0.6144590345062042
1981.3167506543223, 0.6015100005666043
1982.6198071973297, 0.5866783450116783
1984.369115981093, 0.5753335239184295
1986.1362748544864, 0.5686607920098485
1987.8766585934345, 0.5714675760666326
1989.6705926012735, 0.5772929769392032
1991.1967752646588, 0.5804969474191172
1993.5904722840735, 0.5803221853929401
1994.7310930114456, 0.5802056773754887
